,Call_ID,Time,Activity,#_in_FNOL_Que
251,53,54.68654285,end_fnol,0
252,53,54.68654285,redirected_to_other_dept,0
253,56,55,join_fnol_que,0
254,57,55,join_fnol_que,0
255,58,55,join_fnol_que,0
256,56,55,start_fnol,0
257,57,55,start_fnol,0
258,58,55,start_fnol,0
259,55,55.39738158,end_fnol,0
260,55,55.39738158,join_adj_que,0
261,55,55.39738158,start_adj,0
262,54,56.35012843,end_fnol,0
263,54,56.35012843,join_adj_que,0
264,54,56.35012843,start_adj,0
265,59,57,join_fnol_que,0
266,60,57,join_fnol_que,0
267,59,57,start_fnol,0
268,60,57,start_fnol,0
269,55,57.39738158,end_adj,0
270,58,57.59876239,end_fnol,0
271,58,57.59876239,redirected_to_other_dept,0
272,61,58,join_fnol_que,0
273,61,58,start_fnol,0
274,60,58.24924068,end_fnol,0
275,60,58.24924068,join_adj_que,0
276,60,58.24924068,start_adj,0
277,56,58.8081411,end_fnol,0
278,56,58.8081411,redirected_to_other_dept,0
279,62,59,join_fnol_que,0
280,62,59,start_fnol,0
281,54,59.25898882,end_adj,0
282,57,59.69023075,end_fnol,0
283,57,59.69023075,redirected_to_other_dept,0
284,60,60.24924068,end_adj,0
285,61,60.29316782,end_fnol,0
286,61,60.29316782,join_adj_que,0
287,61,60.29316782,start_adj,0
288,49,60.43092781,end_adj,0
289,59,60.67178744,end_fnol,0
290,59,60.67178744,redirected_to_other_dept,0
291,63,61,join_fnol_que,0
292,64,61,join_fnol_que,0
293,63,61,start_fnol,0
294,64,61,start_fnol,0
295,65,62,join_fnol_que,0
296,65,62,start_fnol,0
297,64,62.26841021,end_fnol,0
298,64,62.26841021,redirected_to_other_dept,0
299,61,62.29316782,end_adj,0
300,66,63,join_fnol_que,0
301,66,63,start_fnol,0
302,62,63.81402757,end_fnol,0
303,62,63.81402757,redirected_to_other_dept,0
304,67,64,join_fnol_que,0
305,67,64,start_fnol,0
306,63,64.10857165,end_fnol,0
307,63,64.10857165,redirected_to_other_dept,0
308,65,64.27908364,end_fnol,0
309,65,64.27908364,join_adj_que,0
310,65,64.27908364,start_adj,0
311,68,66,join_fnol_que,0
312,68,66,start_fnol,0
313,69,67,join_fnol_que,0
314,69,67,start_fnol,0
315,66,67.19184545,end_fnol,0
316,66,67.19184545,redirected_to_other_dept,0
317,70,68,join_fnol_que,0
318,71,68,join_fnol_que,0
319,70,68,start_fnol,0
320,71,68,start_fnol,0
321,68,68.07358068,end_fnol,0
322,68,68.07358068,join_adj_que,0
323,68,68.07358068,start_adj,0
324,67,68.47662988,end_fnol,0
325,67,68.47662988,redirected_to_other_dept,0
326,69,68.82521468,end_fnol,0
327,69,68.82521468,redirected_to_other_dept,0
328,72,70,join_fnol_que,0
329,72,70,start_fnol,0
330,68,70.07358068,end_adj,0
331,70,70.14430731,end_fnol,0
332,70,70.14430731,redirected_to_other_dept,0
333,71,71.72486901,end_fnol,0
334,71,71.72486901,redirected_to_other_dept,0
335,73,72,join_fnol_que,0
336,74,72,join_fnol_que,0
337,73,72,start_fnol,0
338,74,72,start_fnol,0
339,75,73,join_fnol_que,0
340,76,73,join_fnol_que,0
341,77,73,join_fnol_que,0
342,75,73,start_fnol,1
343,76,73,start_fnol,1
344,72,73.75305508,end_fnol,1
345,72,73.75305508,redirected_to_other_dept,1
346,77,73.75305508,start_fnol,0
347,78,74,join_fnol_que,0
348,73,74.05665834,end_fnol,1
349,73,74.05665834,join_adj_que,1
350,73,74.05665834,start_adj,0
351,78,74.05665834,start_fnol,0
352,65,74.27908364,end_adj,0
353,79,75,join_fnol_que,0
354,80,75,join_fnol_que,1
355,78,75.20770052,end_fnol,2
356,78,75.20770052,redirected_to_other_dept,2
357,79,75.20770052,start_fnol,1
358,77,75.24295989,end_fnol,1
359,77,75.24295989,join_adj_que,1
360,77,75.24295989,start_adj,0
361,80,75.24295989,start_fnol,0
362,81,76,join_fnol_que,0
363,82,76,join_fnol_que,1
364,83,76,join_fnol_que,2
365,74,76.10901361,end_fnol,3
366,74,76.10901361,join_adj_que,3
